primaryImage,Artist Display Name
https://images.metmuseum.org/CRDImages/ad/original/25582.jpg,Louis Benjamin Huber Defeuille
https://images.metmuseum.org/CRDImages/ad/original/25592.jpg,Jean-Baptiste Nini
https://images.metmuseum.org/CRDImages/ad/original/25583.jpg,H. Sanford
https://images.metmuseum.org/CRDImages/ad/original/25456_83.2.96.jpg,William P. Babcock
https://images.metmuseum.org/CRDImages/ad/original/25534.jpg,Gilbert Stuart
https://images.metmuseum.org/CRDImages/ad/original/ap1996.348.jpg,Henry Inman
https://images.metmuseum.org/CRDImages/ad/original/ap66.73.jpg,John La Farge
https://images.metmuseum.org/CRDImages/ad/original/ap67.187.138.jpg,Albert Pinkham Ryder
https://images.metmuseum.org/CRDImages/ad/original/DP256059.jpg,Edwin Austin Abbey
https://images.metmuseum.org/CRDImages/ad/original/ap1972.263.5.jpg,Francis Alexander
https://images.metmuseum.org/CRDImages/ad/original/DT1268.jpg,Henry Alexander
https://images.metmuseum.org/CRDImages/ad/original/ap64.117.jpg,John White Alexander
https://images.metmuseum.org/CRDImages/ad/original/DT1551.jpg,John White Alexander
https://images.metmuseum.org/CRDImages/ad/original/DP273005.jpg,John White Alexander
https://images.metmuseum.org/CRDImages/ad/original/DP-12213-001.jpg,John White Alexander
https://images.metmuseum.org/CRDImages/ad/original/ap91.18.jpg,John White Alexander
https://images.metmuseum.org/CRDImages/ad/original/ap01.7.2.jpg,Washington Allston
https://images.metmuseum.org/CRDImages/ad/original/ap56.53.jpg,Washington Allston
https://images.metmuseum.org/CRDImages/ad/original/ap40.94.jpg,Ezra Ames
https://images.metmuseum.org/CRDImages/ad/original/ap10.106.jpg,Joseph Alexander Ames
https://images.metmuseum.org/CRDImages/ad/original/DT5812.jpg,Ambrose Andrews
https://images.metmuseum.org/CRDImages/ad/original/DT105.jpg,Thomas Anshutz
https://images.metmuseum.org/CRDImages/ad/original/ap63.200.5.jpg,John Woodhouse Audubon
https://images.metmuseum.org/CRDImages/ad/original/ap83.2.468.jpg,William P. Babcock|Louis de Carmontelle
https://images.metmuseum.org/CRDImages/ad/original/25597.jpg,William P. Babcock
https://images.metmuseum.org/CRDImages/ad/original/25684.jpg,William P. Babcock|Jules Guerin|Louis Philibert Debucourt
https://images.metmuseum.org/CRDImages/ad/original/ap29.85.jpg,Joseph Badger
https://images.metmuseum.org/CRDImages/ad/original/ap81.13.jpg,George Augustus Baker Jr.
https://images.metmuseum.org/CRDImages/ad/original/ap40.144.jpg,George Augustus Baker Jr.
https://images.metmuseum.org/CRDImages/ad/original/ap1980.360.12.jpg,W. H. Bean
https://images.metmuseum.org/CRDImages/ad/original/ap67.55.164.jpg,J. Carroll Beckwith
https://images.metmuseum.org/CRDImages/ad/original/ap29.58.jpg,Henry Benbridge
https://images.metmuseum.org/CRDImages/ad/original/ap69.202.jpg,Henry Benbridge
https://images.metmuseum.org/CRDImages/ad/original/DT7282.jpg,Albert Bierstadt
https://images.metmuseum.org/CRDImages/ad/original/DT2961.jpg,Albert Bierstadt
https://images.metmuseum.org/CRDImages/ad/original/DT9506.jpg,Albert Bierstadt
https://images.metmuseum.org/CRDImages/ad/original/DT9507.jpg,Albert Bierstadt
https://images.metmuseum.org/CRDImages/ad/original/DT82.jpg,Albert Bierstadt
https://images.metmuseum.org/CRDImages/ad/original/DT9508.jpg,Albert Bierstadt
https://images.metmuseum.org/CRDImages/ad/original/ap1976.337.jpg,Albert Bierstadt
https://images.metmuseum.org/CRDImages/ad/original/DT218107.jpg,Albert Bierstadt
https://images.metmuseum.org/CRDImages/ad/original/DT73.jpg,George Caleb Bingham
https://images.metmuseum.org/CRDImages/ad/original/DP162258.jpg,Joseph Blackburn
https://images.metmuseum.org/CRDImages/ad/original/ap16.68.3.jpg,Joseph Blackburn
https://images.metmuseum.org/CRDImages/ad/original/DT9848.jpg,Joseph Blackburn
https://images.metmuseum.org/CRDImages/ad/original/ap1979.196.1.jpg,Joseph Blackburn
https://images.metmuseum.org/CRDImages/ad/original/ap1974.212.jpg,Ralph Albert Blakelock
https://images.metmuseum.org/CRDImages/ad/original/ap06.1269.jpg,Ralph Albert Blakelock
https://images.metmuseum.org/CRDImages/ad/original/ap29.35.jpg,Ralph Albert Blakelock
https://images.metmuseum.org/CRDImages/ad/original/ap09.25.1.jpg,Ralph Albert Blakelock
https://images.metmuseum.org/CRDImages/ad/original/DP343327.jpg,Ralph Albert Blakelock
https://images.metmuseum.org/CRDImages/ad/original/DP-18282-001.jpg,Jacob D. Blondel
https://images.metmuseum.org/CRDImages/ad/original/DT222052.jpg,Robert Frederick Blum
https://images.metmuseum.org/CRDImages/ad/original/ap1976.340.2.jpg,Robert Frederick Blum
https://images.metmuseum.org/CRDImages/ad/original/ap57.19.jpg,David Gilmour Blythe
https://images.metmuseum.org/CRDImages/ad/original/DT2023.jpg,Otto Boetticher
https://images.metmuseum.org/CRDImages/ad/original/DT2101.jpg,William Bradford
https://images.metmuseum.org/CRDImages/ad/original/ap1971.192.jpg,William Bradford
https://images.metmuseum.org/CRDImages/ad/original/DT2024.jpg,John Bradley
https://images.metmuseum.org/CRDImages/ad/original/ap08.237.3.jpg,Alfred Thompson Bricher
https://images.metmuseum.org/CRDImages/ad/original/APS224.jpg,George Loring Brown
https://images.metmuseum.org/CRDImages/ad/original/ap09.26.5.jpg,John George Brown
https://images.metmuseum.org/CRDImages/ad/original/DP156440.jpg,John George Brown
https://images.metmuseum.org/CRDImages/ad/original/APS238.jpg,John George Brown
https://images.metmuseum.org/CRDImages/ad/original/APS239.jpg,Mather Brown
https://images.metmuseum.org/CRDImages/ad/original/ap65.235.jpg,Mather Brown
https://images.metmuseum.org/CRDImages/ad/original/ap09.72.1.jpg,William Gedney Bunce
https://images.metmuseum.org/CRDImages/ad/original/ap93.20.jpg,Dennis Miller Bunker
https://images.metmuseum.org/CRDImages/ad/original/ap54.90.136.jpg,James H. Cafferty|Charles G. Rosenberg
https://images.metmuseum.org/CRDImages/ad/original/DT204722.jpg,John Carlin
https://images.metmuseum.org/CRDImages/ad/original/APS1620.jpg,John William Casilear
https://images.metmuseum.org/CRDImages/ad/original/DT3850.jpg,Charles Robert Leslie
https://images.metmuseum.org/CRDImages/ad/original/DP146263.jpg,Francis William Edmonds
https://images.metmuseum.org/CRDImages/ad/original/DP155950.jpg,Thomas Chambers
https://images.metmuseum.org/CRDImages/ad/original/ap67.54.jpg,John Gadsby Chapman
https://images.metmuseum.org/CRDImages/ad/original/ap83.2.473.jpg,Alonzo Chappel|Gilbert Stuart
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-019.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-011.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-001.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-003.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-009.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-013.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-023.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-053.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-047.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-051.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-033.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-031.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-025.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-027.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-007.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-021.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-035.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-015.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-029.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-037.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-017.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-005.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-045.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-049.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-041.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-043.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-039.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DT95.jpg,William Merritt Chase
https://images.metmuseum.org/CRDImages/ad/original/DT226889.jpg,William Merritt Chase
https://images.metmuseum.org/CRDImages/ad/original/DP137144.jpg,William Merritt Chase
https://images.metmuseum.org/CRDImages/ad/original/ap25.131.jpg,William Merritt Chase
https://images.metmuseum.org/CRDImages/ad/original/DP161212.jpg,William Merritt Chase
https://images.metmuseum.org/CRDImages/ad/original/DT12058.jpg,William Merritt Chase
https://images.metmuseum.org/CRDImages/ad/original/ap91.11.jpg,William Merritt Chase
https://images.metmuseum.org/CRDImages/ad/original/DT1543.jpg,William Merritt Chase
https://images.metmuseum.org/CRDImages/ad/original/ap55.118.jpg,William Merritt Chase
https://images.metmuseum.org/CRDImages/ad/original/DT9509.jpg,William Merritt Chase
https://images.metmuseum.org/CRDImages/ad/original/ap37.20.1.jpg,William Merritt Chase
https://images.metmuseum.org/CRDImages/ad/original/DP161207.jpg,William Merritt Chase
